city,country,x3,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x33,x36,x38,x39,x41,x47,x48,x49,x50,x51,x52,x53,x54,x55,country_name,continent_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary,Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Cimahi,Indonesia,2.92,1.11,0.91,0.75,1.5,7.11,2.84,7.13,2.06,1.27,1.17,1.03,1.06,1.81,1.02,0.43,0.78,34.32,36.58,16.2,3.24,61.58,195.3648,124.03807692307693,463.0723809523809,285.3709090909092,1250.687727272727,643.8584210526316,324.1,8.83,Indonesia,Asia,Monthly,678.91,788.83,198.5,3504.47,54.0,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07
Cuttack,India,4.3,0.54,0.43,0.44,0.99,4.24,2.46,8.19,2.03,0.54,1.11,0.68,0.25,0.28,0.39,0.38,1.25,36.85,10.85,12.28,3.07,31.52,83.93,56.5,249.73,159.66,396.6,330.5,491.27,6.95,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Uberlandia,Brazil,6.13,0.96,1.47,0.95,2.27,9.0,4.06,8.76,1.21,1.21,1.78,1.12,1.02,1.31,0.98,0.93,1.32,54.46,22.46,19.8,5.36,47.9,153.27,134.12,395.96,239.49,1915.93,781.89,348.06,9.0,Brazil,South America,Monthly,1490.04,1711.16,432.27,7609.56,20.0,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
Leipzig,Germany,8.43,1.07,1.55,1.83,2.38,12.07,8.32,13.35,2.4,1.7,2.01,1.4,1.39,0.97,1.23,0.48,2.29,238.91,39.37,29.39,10.54,85.8,581.54,406.28,1424.66,983.93,6322.47,2704.61,2231.31,1.87,Germany,Europe,Monthly,3731.5,4048.63,1014.8,17970.4,44.0,Germany,65.58,27.62,47.78,52.31,60.91,103.08
Durban,South Africa,3.99,1.07,0.84,1.29,1.59,6.44,4.2,6.72,1.29,1.11,1.13,1.12,0.89,0.81,0.93,0.87,1.22,145.62,46.45,27.8,5.42,71.64,351.67,301.36,678.97,634.9,665.31,850.98,1079.61,8.52,South Africa,Africa,Monthly,1441.44,1658.72,417.59,7366.19,114.0,South Africa,42.09,16.6,30.14,34.78,41.33,78.36
Tuxtla,Mexico,5.16,1.22,1.88,1.44,3.06,6.19,7.48,9.54,2.17,0.77,1.03,1.08,1.24,2.32,1.03,0.98,1.18,48.6,25.4,31.978169014084497,2.58,65.64878378378378,355.1655882352941,249.88450704225346,704.1981944444444,533.9577464788732,1108.954166666667,799.7796721311478,638.8188235294119,9.0,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Suginami-ku,Japan,5.21,1.49,1.36,3.1,1.85,11.47,5.64,14.33,3.23,2.23,3.72,3.69,2.63,2.75,1.49,0.84,1.13,159.18,35.77,64.52,14.89,86.86,1295.46,595.61,2695.16,1712.39,6434.77,5211.63,2304.9494871794873,1.83,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Kawaguchi,Japan,4.91,1.34,1.23,2.98,1.79,16.63,8.14,22.34,7.59,2.28,6.39,4.99,3.25,1.94,1.38,0.69,1.08,136.5,37.23,55.84,13.4,40.95,577.2244680851062,432.3027659574468,1116.78,744.52,8040.846799999999,5075.374800000001,2304.9494871794873,1.5342857142857145,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Brampton,Canada,7.41,1.66,1.92,1.76,2.24,14.82,8.47,13.06,3.12,1.44,3.42,2.98,1.76,1.3,1.82,1.31,1.48,238.29,57.39,30.28,11.12,59.7,1425.48,1135.45,1837.27,1662.05,6307.5,4844.93,3489.58,4.89,Canada,Northern America,Monthly,6311.03,7352.94,1850.0,32720.59,24.0,Canada,70.22,34.33,53.4,70.01,67.86,87.98
Tumkur,India,2.46,0.56,0.43,1.18,0.92,3.81,3.1,6.45,2.27,0.9,2.07,0.37,0.37,0.47,0.55,0.39,0.85,28.66,7.68,12.28,2.46,36.85,85.97,61.41,221.07,159.66,1368.62925925926,654.8805825242716,435.02635593220333,8.0,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Pereira,Colombia,5.24,1.27,1.1,0.68,2.14,1.92,2.38,4.99,1.73,0.65,1.0,0.59,0.48,0.42,0.53,0.56,0.5,57.17,25.15,14.34,2.52,41.26,134.87,68.18,356.66,272.74,559.46,405.61,216.62,9.67,Colombia,South America,Monthly,995.6,1157.85,292.53,5137.79,27.0,Colombia,26.72,8.18,18.03,23.47,19.44,28.85
Kagoshima,Japan,6.54,1.19,1.36,6.7,1.78,5.96,4.84,11.17,4.47,2.6319999999999992,14.89,4.575593220338983,2.998032786885246,0.82,0.82,0.74,1.1,94.93,40.95,61.19739130434783,12.28,89.34,595.61,446.71,1164.5908510638299,839.1606666666665,8040.846799999999,5075.374800000001,2680.27,1.5342857142857145,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Dortmund,Germany,8.43,1.06,2.21,2.49,3.68,13.07,7.82,17.91,2.87,1.68,2.4,0.83,2.03,0.94,1.84,0.91,2.32,297.52,37.5,25.74,14.75,114.16,700.74,386.37,1527.93,843.0,3582.73,2423.61,2646.41,2.5,Germany,Europe,Monthly,3731.5,4048.63,1014.8,17970.4,44.0,Germany,65.58,27.62,47.78,52.31,60.91,103.08
Irapuato,Mexico,5.93,1.01,1.23,1.55,1.34,5.16,5.16,11.45,2.58,1.03,0.77,1.03,1.03,0.96,0.77,0.67,1.12,55.89878378378378,41.26,23.21,3.97,38.68,180.49,128.92,335.2,247.53,412.55,670.4,825.1,10.48,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Mar del Plata,Argentina,4.0,0.68,0.94,0.93,1.23,4.88,4.0,5.0,1.4,1.23,0.82,1.0,0.75,1.2,0.4,1.05,0.69,62.22,21.2,30.0,4.0,71.25,172.5,137.5,350.0,263.75,2175.0,1375.0,365.67,56.25,Argentina,South America,Monthly,110.28,129.42,32.57,577.13,4.0,Argentina,34.69,7.71,22.04,28.17,33.32,30.72
Makhachkala,Russia,6.0,1.46,0.55,0.96,1.92,4.8,4.8,6.56,1.12,1.73,1.44,1.76,0.88,0.64,1.6,0.56,0.81,68.72,11.15,40.0,5.6,64.0,368.0,186.67,528.0,320.0,1520.0,933.33,453.33,9.3,Russia,Europe,Monthly,975.51,1065.68,268.47,4744.34,104.0,Russia,35.26,13.09,24.87,29.86,34.56,37.41
Albany,United States,9.0,1.07,3.41,2.75,3.29,11.56,9.54,14.67,4.2,1.48,3.59,5.22,2.05,2.47,1.65,1.6,1.23,143.7,68.88,25.0,12.0,99.14,1300.0,1100.0,2000.0,1550.0,3229.17,2152.78,4825.0,5.43,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Knoxville,United States,8.0,0.93,2.61,2.72,2.2,9.36,8.8,13.72,4.55,1.39,3.5,3.99,2.45,2.49,1.36,1.33,1.14,193.04,65.4,35.83,12.0,94.2,1218.75,911.11,2120.0,1611.11,3767.37,2821.9793931398435,3950.0,5.27,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Bucaramanga,Colombia,3.78,0.76,0.53,0.8,1.14,2.27,2.85,4.58,1.0,0.43,0.39,0.65,0.32,0.5,0.42,0.55,0.5,48.88,15.47,17.38,2.52,27.62,171.77,133.75,278.73,220.29,769.26,839.2,234.4,11.67,Colombia,South America,Monthly,995.6,1157.85,292.53,5137.79,27.0,Colombia,26.72,8.18,18.03,23.47,19.44,28.85
Mission Viejo,United States,9.76,1.17,4.13,3.31,4.16,10.39,16.52,20.93,3.42,1.76,3.95,4.41,2.77,2.2,1.55,1.5,1.58,237.28,68.83,23.33,13.5,110.0,2400.0,1234.39430176565,3000.0,2072.2105687203793,4305.56,5381.96,4805.0,5.29,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Reynosa,Mexico,5.67,1.03,1.55,0.98,1.8,6.29,3.35,7.22,2.06,0.95,1.16,1.22,1.16,1.16,0.77,0.76,0.89,38.1,21.92,18.05,3.84,55.01,193.38,223.47,360.98,438.34,670.4,438.34,541.47,10.33,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Essen,Germany,8.69,0.98,1.77,2.07,2.89,12.9,7.33,13.0,2.21,1.71,1.9,0.83,2.11,0.94,1.43,0.4,2.32,233.34,39.52,20.42,10.54,121.18,965.93,447.84,1053.75,965.93,5106.977380952377,3770.2163218390774,2928.53,1.96,Germany,Europe,Monthly,3731.5,4048.63,1014.8,17970.4,44.0,Germany,65.58,27.62,47.78,52.31,60.91,103.08
Genoa,Italy,8.43,1.57,2.49,2.51,3.31,15.81,9.35,19.72,2.11,2.12,2.65,2.55,1.46,1.42,1.01,0.68,2.19,151.61,31.07,54.33,9.22,122.37,679.67,491.05,1053.75,843.0,3389.55,1264.49,1413.34,2.19,Italy,Europe,Monthly,3467.23,3868.92,972.52,17230.44,59.0,Italy,66.47,20.55,44.95,57.95,70.58,61.74
Bakersfield,United States,9.0,1.01,3.72,5.73,3.94,11.57,23.09,26.42,5.36,2.14,5.51,4.12,1.84,4.94,2.16,3.92,1.56,312.5,74.0,35.0,12.0,201.0,1175.0,1070.83,2256.43,1966.67,1955.44,1399.31,3366.02,7.62,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Shah Alam,Malaysia,3.65,1.6,0.78,1.77,1.52,14.81,5.89,11.62,2.4,1.31,2.37,1.4,1.0,1.25,0.99,0.68,0.47,33.98,26.89,36.47,4.33,58.88,303.89,182.34,585.0,326.69,1670.89,1115.86,1127.81,4.33,Malaysia,Asia,Monthly,1236.17,1406.38,355.32,6255.32,75.0,Malaysia,37.02,9.87,24.29,39.45,20.84,55.3
Cuiaba,Brazil,4.6,0.89,1.28,1.79,1.72,7.98,3.19,7.34,2.3,1.15,0.96,1.53,0.96,0.96,2.49,0.96,1.28,95.8,22.99,19.16,4.6,38.32,191.59,162.85,478.98,229.91,1149.56,766.37,478.98,14.33,Brazil,South America,Monthly,1490.04,1711.16,432.27,7609.56,20.0,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
Ogden,United States,7.0,0.76,3.5,3.58,2.0,9.91,7.72,11.01,3.26,1.33,2.89,2.73,1.73,2.04,1.91,2.66,1.12,121.81,62.0,56.33,10.0,88.75,1300.0,1416.67,1616.67,1650.0,1937.5,1829.86,3182.67,5.95,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Malaga,Spain,8.43,0.83,1.03,1.29,2.45,11.43,6.47,12.21,1.61,1.34,1.21,1.53,1.12,1.07,0.99,0.71,1.84,128.41,34.91,46.45,8.54,97.85,747.96,610.36,1188.39,978.23,3723.23,2344.58,1766.37,2.17,Spain,Europe,Monthly,2579.28,2875.26,877.38,12050.74,116.0,Spain,53.88,21.25,38.58,45.69,53.96,70.04
Puente Alto,Chile,4.07,1.02,0.98,1.17,2.87,7.43,3.4,7.5,1.47,1.7,0.79,2.72,1.36,3.4,0.62,1.81,0.97,101.87,16.98,38.187777777777775,5.66,54.33,392.30888888888893,337.9938888888889,667.16,559.9422222222222,1683.1241666666665,1421.4858333333334,452.74,3.7,Chile,South America,Monthly,1890.4,2090.56,525.98,9274.09,25.0,Chile,43.9,13.51,29.66,38.87,43.26,33.27
Tomsk,Russia,6.4,1.06,0.56,1.86,1.59,16.1,5.28,9.35,2.08,1.9,2.08,3.35,0.68,0.77,1.31,0.62,0.8,119.99,7.33,40.88,6.4,124.0,416.0,256.36,696.0,465.6,2156.0,1426.67,635.43,10.05,Russia,Europe,Monthly,975.51,1065.68,268.47,4744.34,104.0,Russia,35.26,13.09,24.87,29.86,34.56,37.41
Dehra Dun,India,5.22,0.71,0.44,0.56,0.88,4.38,3.19,3.93,1.45,0.67,0.93,0.54,0.32,0.43,0.52,0.37,1.21,58.34,8.75,17.69,4.3,51.58,145.85,74.92,331.61,186.68,2897.58,615.45,358.14,7.7,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Bristol,United Kingdom,7.38,1.33,1.3,1.84,2.62,6.74,6.8,9.46,2.37,1.56,2.65,2.98,1.71,1.17,0.89,1.23,1.96,261.88,41.46,35.94,12.3,84.42,1343.04,1054.29,2163.67,1660.5,7841.25,4378.57,2851.94,3.31,United Kingdom,Europe,Monthly,6300.0,7235.37,1829.27,32214.63,131.0,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78
Bremen,Germany,10.53,1.2,1.73,1.96,2.64,15.07,7.43,20.37,3.15,1.68,2.07,0.85,2.24,1.02,1.47,0.52,2.28,222.28,36.88,25.95,10.27,104.85,658.59,504.29,1304.01,912.37,4214.98,3108.55,2300.6,2.72,Germany,Europe,Monthly,3731.5,4048.63,1014.8,17970.4,44.0,Germany,65.58,27.62,47.78,52.31,60.91,103.08
Hachioji,Japan,5.21,1.36,1.79,4.76,1.88,13.173166666666669,5.96,18.104262295081973,4.99,1.49,4.17,5.21,6.3,3.6,2.08,1.41,1.23,245.23,29.78,74.45,13.4,89.62983606557376,483.94,372.26,893.42,670.07,8040.846799999999,5075.374800000001,2304.9494871794873,1.5342857142857145,Japan,Asia,Monthly,3158.67,3453.12,869.97,15391.82,62.0,Japan,77.03,25.86,53.04,81.31,45.4,87.11
Akron,United States,10.5,0.85,2.12,4.5,1.5,9.76,10.07,16.34,5.29,1.33,5.29,4.7,2.14,1.38,1.72,2.05,1.24,233.75,69.29,28.33,11.5,100.83,600.0,700.0,1250.0,1566.67,861.11,2821.9793931398435,2786.77,5.74,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Irbid,Jordan,6.34,1.3,0.42,1.27,1.67,7.58,5.64,11.28,1.52,1.41,0.92,0.66,0.85,0.59,0.4,0.53,1.21,78.13,33.48,32.9,8.46,75.19,177.24,124.07,333.66,216.18,546.31,486.4,528.69,7.87,Jordan,Asia,Monthly,1946.4,2284.91,578.28,10141.04,64.0,Jordan,49.19,9.23,30.46,40.81,41.16,31.34
Baton Rouge,United States,8.0,1.07,3.1,3.43,2.65,11.95,11.57,14.65,5.95,1.32,2.96,3.74,2.19,3.31,2.05,1.36,1.05,134.22,54.0,50.0,12.0,85.0,1300.0,966.67,2166.67,1700.0,1453.13,1345.49,3566.67,5.43,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Ensenada,Mexico,5.93,1.21,1.96,1.49,1.69,6.11,4.29,8.3,2.95,1.24,1.23,1.44,1.84,1.09,1.03,0.91,1.11,93.53,21.87,37.82,4.25,100.81,464.12,223.47,687.59,498.5,670.4,670.4,532.88,15.0,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Durgapur,India,4.91,0.56,0.34,0.43,0.9,3.38,2.82,7.37,1.47,0.49,1.66,0.5033566433566434,0.3595683453237408,0.53,0.55,0.48,1.28,28.66,8.47,12.9,1.84,30.7,85.97,51.17,204.7,147.38,290.84,118.98,399.16,9.67,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Columbia,United States,7.25,0.91,2.88,3.26,3.35,10.71,11.76,13.04,3.4,2.7,2.68,2.78,1.97,1.7,1.61,1.94,1.03,162.37,60.99,38.0,11.0,101.38,1497.0,1172.5,2806.0,1399.5,3702.987788461537,2821.9793931398435,5711.11,5.43,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
New Haven,United States,9.0,1.11,6.61,6.33,5.33,11.46,10.28,13.22,5.33,1.42,5.61,5.61,3.21,3.65,2.03,1.88,1.3,188.61,64.28,27.5,15.0,90.0,1725.0,1456.25,4000.0,2333.33,4305.56,2821.9793931398435,4162.33,4.59,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Orenburg,Russia,5.2,1.0,0.49,1.49,1.4,8.64,3.76,10.75,1.92,1.55,1.6,2.35,1.04,0.65,1.28,0.4,0.81,123.13,7.2,24.0,4.16,88.8,288.0,170.67,480.0,312.0,1360.0,1000.0,661.18,8.58,Russia,Europe,Monthly,975.51,1065.68,268.47,4744.34,104.0,Russia,35.26,13.09,24.87,29.86,34.56,37.41
Asansol,India,6.14,0.62,0.42,0.56,0.85,4.64,3.44,8.14,1.55,0.61,1.66,0.7,0.34,0.49,0.49,0.32,1.41,36.85,8.6,18.42,3.07,36.85,113.61462686567161,77.78909090909087,260.67625954198473,170.34568181818176,198.3,158.64,1105.36,7.5,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Dresden,Germany,8.96,1.03,1.04,2.31,2.4,11.03,7.26,10.53,2.07,1.73,2.43,1.41,1.42,1.11,1.21,0.9,2.3,249.36,32.9,36.13,10.54,121.78,577.66,465.4,1141.56,869.93,4394.12,3319.3,2579.58,2.62,Germany,Europe,Monthly,3731.5,4048.63,1014.8,17970.4,44.0,Germany,65.58,27.62,47.78,52.31,60.91,103.08
Nellore,India,3.07,0.69,0.43,0.55,0.77,2.46,3.22,5.53,2.46,0.66,1.01,0.49,0.33,0.41,0.83,0.32,1.56,44.67,9.01,24.56,1.84,45.03,106.44,65.5,249.73,196.51,594.9,462.7,593.62,8.33,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Surakarta,Indonesia,2.92,1.2,0.94,0.75,1.87,6.48,4.54,7.56,2.51,1.78,0.84,1.08,1.13,1.84,0.45,0.23,0.8,32.41,23.77,22.69,2.27,54.02,211.74,118.83,259.28,162.05,648.19,643.8584210526316,132.88,4.5,Indonesia,Asia,Monthly,678.91,788.83,198.5,3504.47,54.0,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07
Kemerovo,Russia,2.17,1.24,0.69,1.7,1.71,11.02,5.4,7.57,2.15,1.85,2.02,3.2,0.86,0.65,0.93,0.68,0.81,107.1,7.2,28.33,5.6,112.0,400.0,224.0,640.0,400.0,1223.1,987.11,504.53,10.54,Russia,Europe,Monthly,975.51,1065.68,268.47,4744.34,104.0,Russia,35.26,13.09,24.87,29.86,34.56,37.41
Manchester,United Kingdom,7.38,1.32,1.39,2.03,2.86,7.25,7.24,10.24,2.38,1.69,2.4,1.8,1.52,1.42,0.86,1.42,2.02,255.46,34.03,32.27,11.69,82.64,1137.01,831.73,2148.4,1305.48,4807.99,3160.75,2799.28,2.94,United Kingdom,Europe,Monthly,6300.0,7235.37,1829.27,32214.63,131.0,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78
Amravati,India,4.18,0.61,0.3,0.58,0.88,5.5,2.54,2.92,1.75,0.48,0.89,0.37,0.29,0.26,0.28,0.35,1.33,26.44,7.98,38.38,2.76,27.63,67.55,36.85,122.82,85.97,594.9,528.8,327.51,9.72,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Bhavnagar,India,3.68,0.7,0.37,0.52,0.9,4.3,2.7,7.37,1.54,0.47,0.84,0.34,0.37,0.27,0.57,0.29,0.97,38.09,4.78,19.65,3.07,31.58,98.25,73.69,245.64,82.9,614.09,368.45,435.02635593220333,7.45,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
Herat,Afghanistan,2.82,0.38,0.4,1.36,1.4,2.54,2.15,4.52,0.51,1.13,0.68,0.37,0.38,0.24,0.23,0.23,0.68,56.5,112.99,9.79,2.965,19.77,62.15,39.55,112.99,79.1,480.78,248.42,152.54,10.3,Afghanistan,Asia,Monthly,853.74,1001.15,252.53,4460.97,1.0,Afghanistan,20.37,2.72,12.09,14.92,12.41,23.04
Juiz de Fora,Brazil,4.79,0.81,1.21,1.27,1.69,6.71,3.17,6.9,1.05,0.94,0.81,1.53,0.74,0.91,0.67,0.65,1.28,84.62,20.12,17.24,3.74,47.9,172.43,114.96,344.87,287.39,1149.56,957.96,268.23,12.0,Brazil,South America,Monthly,1490.04,1711.16,432.27,7609.56,20.0,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
Hamadan,Iran,4.98,0.81,0.53,3.72,1.3,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.6,0.5,0.51,0.3,0.71,21.1,13.96,23.42,1.5,91.91,633.34,468.34,1464.59,989.17,3445.65,2329.35,720.51,20.0,Iran,Asia,Monthly,932.63,1070.97,269.53,4770.47,55.0,Iran,37.39,17.05,27.85,29.46,25.18,17.98
Novokuznetsk,Russia,3.52,1.1,0.56,1.2,1.63,7.6,5.33,7.44,1.6,1.76,1.42,2.56,0.64,0.56,0.69,0.56,0.81,120.33,4.87,53.47,5.77,174.0,305.46,211.86,496.0,352.0,991.46,651.06,411.29,12.3,Russia,Europe,Monthly,975.51,1065.68,268.47,4744.34,104.0,Russia,35.26,13.09,24.87,29.86,34.56,37.41
Chiclayo,Peru,4.83,0.91,0.6,0.81,2.43,2.87,2.28,6.13,1.17,1.04,1.04,0.78,0.59,0.72,0.33,0.52,0.9,26.63,39.16,24.37,3.92,66.14,117.48,117.48,208.85,352.43,596.36,993.94,267.59,10.0,Peru,South America,Monthly,1825.86,1997.36,503.96,8891.82,97.0,Peru,32.53,11.22,22.54,30.71,21.53,28.17
Londrina,Brazil,5.36,0.72,1.29,1.24,1.93,8.14,3.74,6.48,1.27,0.74,0.65,1.29,0.72,0.76,0.71,0.57,1.29,59.39,16.48,18.17,4.79,79.83,175.63,108.57,332.09,229.91,862.17,517.3,389.57,10.38,Brazil,South America,Monthly,1490.04,1711.16,432.27,7609.56,20.0,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
Heroica Matamoros,Mexico,4.64,1.63,2.97,1.25,2.28,8.77,7.16,14.27,2.76,1.72,1.74,2.18,1.7,1.29,1.5,0.99,0.85,75.42,34.55,25.78,3.22,86.38,309.41,128.92,489.91,412.55,773.53,567.26,515.69,10.17,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Tabuk,Saudi Arabia,6.65,1.42,0.62,2.0,3.13,4.52,5.32,9.98,1.86,1.42,1.42,1.86,1.86,1.68,1.06,0.53,0.55,209.39,101.98,88.68,15.96,79.81,485.52,443.39,771.51,638.49,798.11,532.07,2321.05,5.0,Saudi Arabia,Asia,Monthly,3840.0,4480.0,1128.0,19893.33,106.0,Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85
Muntinlupa City,Philippines,3.5,1.71,1.27,0.9,1.81,4.89,3.68,7.0,3.48,1.61,2.76,2.17,2.03,1.79,2.11,0.92,1.12,98.68,32.88,49.79,6.28,103.17,403.7,209.32,1166.23,448.55,2332.47,717.68,448.55,5.33,Philippines,Asia,Monthly,728.78,790.54,199.4,3511.56,98.0,Philippines,37.06,9.59,24.18,37.84,20.61,21.47
Samarkand,Uzbekistan,3.5,0.99,0.27,1.2,1.49,6.08,3.64,7.26,1.42,1.71,2.28,1.48,0.48,0.36,0.3,0.3,0.91,32.5,15.0,36.67,1.5,99.12,275.0,206.67,500.0,383.33,730.67,482.64,253.33,18.0,Uzbekistan,Asia,Monthly,97.25,106.98,27.07,477.35,134.0,Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37
Hannover,Germany,8.43,0.99,2.36,2.1,2.76,10.1,7.83,17.07,3.29,1.74,2.13,1.28,1.64,1.08,1.11,0.5,2.32,231.32,32.27,40.64,12.64,120.24,755.18,530.82,1299.53,1061.27,5268.73,3898.86,2664.16,1.96,Germany,Europe,Monthly,3731.5,4048.63,1014.8,17970.4,44.0,Germany,65.58,27.62,47.78,52.31,60.91,103.08
Valledupar,Colombia,5.78,0.95,0.88,0.7,1.79,3.37,3.09,5.03,1.4,0.57,1.08,0.8,0.57,0.7,0.66,0.73,0.5,82.77,26.07,29.66,3.15,33.55,150.81,106.1,233.58,168.4,14338.5,13027.5,525.88,10.16,Colombia,South America,Monthly,995.6,1157.85,292.53,5137.79,27.0,Colombia,26.72,8.18,18.03,23.47,19.44,28.85
Ajmer,India,3.07,0.53,0.55,0.64,1.03,6.14,3.93,7.68,1.47,0.4,0.43,0.37,0.31,0.4,0.4829927007299271,0.37,1.23,12.28,4.9,18.42,3.07,9.83,85.97,55.27,221.07,147.38,1043.95,393.02,368.45,7.8,India,Asia,Monthly,327.97,384.43,97.07,1717.92,53.0,India,24.43,5.3,15.47,26.43,17.56,49.72
An Nasiriyah,Iraq,6.9,0.8,0.9,1.3,1.61,3.68,3.48,9.13,1.08,1.11,1.03,0.57,0.62,0.55,0.34,0.34,0.64,83.80263157894734,25.21,25.21,4.2,31.06,420.17,252.1,504.2,420.17,840.34,420.17,420.17,8.0,Iraq,Asia,Monthly,1382.38,1573.31,395.62,6988.25,56.0,Iraq,34.47,10.63,23.29,30.46,28.31,40.92
Poznan,Poland,5.63,0.75,0.94,0.91,2.23,6.61,4.5,8.94,0.91,1.21,1.44,2.28,0.67,0.67,0.87,0.52,1.53,130.41,14.26,28.86,6.54,81.7,518.9,434.74,806.05,650.11,2873.53,2107.26,970.75,4.42,Poland,Europe,Monthly,1496.57,1736.84,437.07,7734.55,99.0,Poland,38.95,14.45,27.46,32.42,33.52,59.95
City of Calamba,Philippines,2.69,1.6,1.2,0.9,1.72,9.63,3.05,6.82,2.15,1.44,1.61,1.61,1.26,1.79,1.79,0.72,1.25,62.49,36.75,32.35354166666668,5.38,71.77,125.59,80.74,179.42,143.54,1961.780294117647,1074.2873529411766,269.13,5.33,Philippines,Asia,Monthly,728.78,790.54,199.4,3511.56,98.0,Philippines,37.06,9.59,24.18,37.84,20.61,21.47
Antwerp,Belgium,9.48,1.08,2.07,2.69,3.29,9.14,8.66,14.52,2.5,1.75,2.94,2.77,1.69,1.39,1.15,1.05,2.01,208.83,52.69,44.78,12.64,120.52,854.46,704.25,1369.87,1091.8,3273.2,2581.68,2510.02,1.78,Belgium,Europe,Monthly,5729.39,6522.2,1997.89,27378.44,14.0,Belgium,72.61,25.79,50.67,63.32,78.63,79.72
Ryazan,Russia,5.6,1.23,0.67,1.88,1.79,9.9,5.38,10.61,1.5,1.34,1.52,2.32,0.87,0.63,1.12,0.68,0.8,120.86,8.5,57.33,5.6,96.0,304.0,220.8,624.0,380.0,1685.19,1178.57,544.0,9.9,Russia,Europe,Monthly,975.51,1065.68,268.47,4744.34,104.0,Russia,35.26,13.09,24.87,29.86,34.56,37.41
