city,country,x3,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x33,x36,x38,x39,x41,x47,x48,x49,x50,x51,x52,x53,x54,x55,country_name,continent_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary,Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Krabi,Thailand,5.47,1.15,1.15,1.22,1.5099999999999993,27.36,2.66,19.44,2.23,0.86,1.94,1.44,1.19,1.15,2.3,0.91,1.25,46.08,21.12,40.32,5.76,74.88,172.8,211.2,576.01,451.21,2507.3847368421057,1441.5809999999997,792.01,5.0,Thailand,Asia,Monthly,2432.28,2662.11,670.31,11846.79,124.0,Thailand,43.21,14.69,29.84,45.15,22.59,31.56
Long Branch,United States,6.5,1.25,1.1,3.16,2.64,15.32,7.25,6.37,8.2,1.3,4.41,1.96,2.84,2.18,1.59,2.0,1.2154789272030644,60.0,86.67,41.40092833876223,10.5,287.5,1461.2176331360947,1234.39430176565,2503.6035714285736,2072.2105687203793,3702.987788461537,2821.9793931398435,3978.667886597939,3.25,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Subotica,Serbia,5.83,0.98,0.63,1.14,1.83,9.84,6.71,8.53,0.84,1.39,1.28,1.12,0.67,0.54,0.67,0.49,1.56,135.78,24.13,26.63,3.59,110.71,227.98,195.47,480.3,397.33,1070.37,897.14,468.77,4.34,Serbia,Europe,Monthly,1120.04,1273.6,320.66,5654.41,108.0,Serbia,36.21,8.73,23.33,28.18,29.24,37.83
Dubendorf,Switzerland,13.89,1.71,3.45,2.27,6.34,22.44,26.71,66.96,3.5,3.05,3.39,5.56,3.21,3.35,2.14,1.53,1.98,248.81,52.89,51.05,20.3,137.12,1511.9753571428569,1278.8476,2882.647692307692,2297.17,6944.93,5805.25,7051.77,1.17,Switzerland,Europe,Monthly,9836.07,11292.9,2850.27,50363.93,120.0,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44
Tralee,Ireland,8.69,1.65,2.67,1.37,3.94,7.42,11.6,10.06,2.63,1.6,1.65,1.63,1.11,0.89,0.9,1.07,1.99,98.22,48.74,57.96,10.54,96.59,961.54,856.17,1317.18,1145.95,2318.24,2107.49,2081.15,3.07,Ireland,Europe,Monthly,3021.14,3399.58,856.24,15151.16,57.0,Ireland,76.05,42.08,60.13,62.1,80.4,82.27
Dietikon,Switzerland,13.89,1.71,2.96,2.88,7.27,31.52,29.2,57.7,4.74,3.13,4.91,4.27,3.21,3.35,2.3,0.8,1.98,271.56,52.89,78.01629629629628,20.3,138.9,1335.56,1278.8476,2882.647692307692,2189.8429629629627,11934.601818181814,8652.144761904763,5342.25,1.17,Switzerland,Europe,Monthly,9836.07,11292.9,2850.27,50363.93,120.0,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44
Mortsel,Belgium,11.85,0.83,1.88,1.48,2.25,10.71,7.38,14.01,2.02,1.55,1.48,2.51,0.95,1.58,0.95,0.46,2.08,180.01,68.49,31.6,13.01,105.37,790.31,737.62,1475.24,1159.12,2528.99,2212.86,2353.24,2.3,Belgium,Europe,Monthly,5729.39,6522.2,1997.89,27378.44,14.0,Belgium,72.61,25.79,50.67,63.32,78.63,79.72
Hillerod,Denmark,10.28,1.56,3.19,1.79,3.12,5.67,10.16,11.34,2.55,2.84,2.79,2.84,1.46,1.28,1.42,1.42,2.25,141.75,31.19,35.31375,13.82,141.75,1417.51,868.09,2126.27,1234.1066666666666,4361.902499999999,3023.9525000000003,3174.0824999999995,1.25,Denmark,Europe,Monthly,5084.99,5779.04,1458.92,25637.39,33.0,Denmark,84.12,33.23,60.26,68.6,98.75,99.45
East Palo Alto,United States,8.0,0.95,4.67,4.2,4.82,13.23,4.37,13.21,6.31,2.09,3.58,6.48,3.74,2.98,1.83,2.25,1.56,172.5,55.15,41.40092833876223,13.0,107.5,2333.33,1234.39430176565,5500.0,2072.2105687203793,17760.45,12916.69,8346.0,5.43,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Tixtla de Guerrero,Mexico,5.8,1.1,2.14,1.51,1.24,6.5,6.17,9.54,2.58,0.57,0.75,1.45,1.5,1.91,1.29,0.85,1.11,59.3,34.38,30.08,5.16,67.04,180.49,154.71,369.58,257.84,1245.18,725.73,421.15,9.0,Mexico,Central America,Monthly,1681.97,1917.34,482.78,8495.98,79.0,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
Smolyan,Bulgaria,5.34,1.03,0.88,1.7725925925925925,1.92,6.935925925925923,5.3325925925925945,4.81,1.2967999999999997,1.37,1.25,1.7646153846153845,0.53,0.93,1.2,0.37,1.4,69.46,9.53,16.03,5.34,37.4,160.3,133.58,240.44,213.73,879.3466666666668,626.8895454545454,601.51,3.0,Bulgaria,Europe,Monthly,1605.41,1794.59,454.05,7945.95,21.0,Bulgaria,38.38,9.07,24.64,34.02,32.44,45.96
Oegstgeest,Netherlands,11.59,1.09,2.11,1.9,2.06,10.54,8.44,28.17,2.85,1.05,1.47,2.7,1.08,0.94,0.82,0.63,2.22,278.28,51.17,33.18976190476191,12.64,126.45,1121.1841025641027,946.631794871795,1805.2843589743586,1458.73225,4644.157878787879,3547.038484848485,3130.209250000001,2.57,Netherlands,Europe,Monthly,4756.87,5179.7,1427.06,22515.86,86.0,Netherlands,75.66,36.06,57.1,65.49,76.35,87.99
Kocani,North Macedonia,3.82,0.93,0.59,0.93,1.53,5.43,4.24,6.79,0.57,1.02,0.99,0.96,0.51,0.48,0.34,0.37,1.18,107.53,14.43,15.85,2.97,46.69,118.85,101.87,195.26,144.32,690.37,610.67,464.09,4.0,,,,,,,,90.0,North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44
Rezekne,Latvia,4.74,0.9,1.11,1.48,1.63,8.43,5.53,10.54,0.84,1.05,1.26,1.84,0.42,0.42,1.05,0.53,1.84,148.11,15.81,42.15,5.27,73.76,142.26,94.84,194.94,115.91,737.62,526.87,558.48,2.5,Latvia,Europe,Monthly,1654.0727,1952.1038,491.75135,8657.804,69.0,Latvia,48.45,11.77,31.26,38.37,42.1,51.65
Vevey,Switzerland,14.85,1.79,3.21,2.24,4.82,22.47,25.11,53.42,4.33,3.95,2.85,4.32,1.88,3.13,2.26,1.16,1.99,267.11,59.22,99.72,20.03,149.58,1958.83,1673.91,3472.46,2724.55,11934.601818181814,8652.144761904763,5947.71,1.57,Switzerland,Europe,Monthly,9836.07,11292.9,2850.27,50363.93,120.0,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44
Mytilini,Greece,6.32,1.69,1.26,2.32,2.63,10.93,7.38,11.24,2.24,2.46,1.65,1.78,0.89,0.72,0.79,0.97,2.22,136.99,29.5,44.78,8.43,68.49,316.12,263.44,474.19,665.3634615384617,2432.8750000000005,1971.5699999999997,803.48,4.5,Greece,Europe,Monthly,2241.01,2579.28,655.39,11522.2,46.0,Greece,56.22,12.68,35.81,44.73,52.19,39.73
Koper,Slovenia,6.32,1.01,1.61,1.45,3.46,21.04,7.02,8.61,1.54,1.26,1.16,5.09,1.02,1.0,2.63,0.67,1.48,234.61,37.41,56.64,6.32,97.47,558.48,421.5,1138.04,843.0,4083.26,2809.99,1112.69,2.37,Slovenia,Europe,Monthly,1934.46,2093.02,528.54,9302.33,112.0,Slovenia,53.88,17.9,37.01,47.71,46.74,59.48
Alboraya,Spain,8.22,0.62,1.16,1.26,1.84,9.15,6.92,9.06,1.58,1.19,1.05,1.32,0.63,0.79,0.91,0.37,1.64,72.75,27.53,39.763600000000004,5.8,52.69,638.8670833333332,529.5508955223881,1029.605072463768,579.56,2810.926666666666,1933.5176190476188,1644.671232876712,3.0,Spain,Europe,Monthly,2579.28,2875.26,877.38,12050.74,116.0,Spain,53.88,21.25,38.58,45.69,53.96,70.04
Biarritz,France,9.48,1.05,2.14,2.21,3.24,27.4,15.1,19.76,2.81,2.13,3.96,2.63,1.39,2.37,1.32,0.63,2.0,161.68,34.77,52.69,10.54,120.92,1176.68,895.68,2458.74,1791.37,10800.89,8429.96,2778.2,1.3,France,Europe,Monthly,3769.56,4377.38,1100.42,19467.23,42.0,France,74.13,25.33,51.26,73.64,71.84,85.41
Velenje,Slovenia,6.32,1.01,1.05,0.74,2.51,6.32,8.25,7.38,1.37,0.95,1.16,1.48,0.63,1.0,0.63,0.84,1.29,264.61,31.61,36.88,3.16,87.81,386.37,281.0,516.34,447.84,1685.99,1264.49,1053.75,3.0,Slovenia,Europe,Monthly,1934.46,2093.02,528.54,9302.33,112.0,Slovenia,53.88,17.9,37.01,47.71,46.74,59.48
Sliema,Malta,8.96,1.12,1.17,3.13,3.33,9.62,8.89,18.0,3.05,2.31,3.17,2.49,1.81,1.83,1.51,1.12,1.44,112.74,36.88,59.45,10.54,109.89,953.39,757.03,1841.28,1299.62,4399.39,3213.92,1410.32,3.71,Malta,Europe,Monthly,4439.75,4904.86,1236.79,21775.9,77.0,Malta,67.84,29.72,49.97,59.59,72.42,44.18
Easton,United States,7.75,1.03,2.2,6.25,3.5,17.61,10.13,18.73,6.54,1.23,3.82,6.91,4.78,3.67,2.33,1.95,1.28,170.0,50.0,25.0,15.0,113.75,1461.2176331360947,1100.0,2503.6035714285736,1800.0,3702.987788461537,2821.9793931398435,3333.33,5.29,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Weingarten,Germany,8.17,1.15,1.05,2.63,3.16,12.64,8.69,12.64,3.16,2.27,3.69,2.37,3.69,1.26,1.05,1.11,2.0,210.75,36.88,73.76,8.43,63.22,474.19,342.47,1106.43,790.31,5106.977380952377,3161.24,1527.93,2.075,Germany,Europe,Monthly,3731.5,4048.63,1014.8,17970.4,44.0,Germany,65.58,27.62,47.78,52.31,60.91,103.08
Blenheim,New Zealand,7.12,1.82,1.51,1.95,3.08,8.59,9.34,14.6,2.77,2.09,2.89,3.09,1.82,1.76,2.74,0.99,1.78,89.96,49.09,35.81,12.19,100.49,1026.24,655.9672222222222,320.7,352.77,3848.4,2822.16,3538.39,3.79,New Zealand,Oceania,Monthly,4196.41,4870.06,1227.54,21656.29,87.0,New Zealand,74.52,34.44,55.73,72.04,70.05,83.63
Utena,Lithuania,6.32,1.05,1.05,2.11,2.53,7.38,3.16,6.32,0.53,0.83,1.68,2.11,0.32,0.42,0.53,0.74,1.26,206.7,12.64,31.099999999999998,7.38,63.22,367.9069230769231,240.13083333333336,648.6127272727272,455.933,1794.1758333333335,1231.5966666666668,916.76,2.345384615384615,Lithuania,Europe,Monthly,903.87466,997.90189,251.75032,4428.3792,72.0,Lithuania,45.65,15.01,31.29,36.18,46.64,58.74
